food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,actual_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
VAA855,Vanila,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
LET336,Lemon Mint,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
BLA452,Blueberry Vanila,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
GRS804,Grapes,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
ORA615,Orange Rasna,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
PAE315,Pan Rose,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
MIT495,Mint,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,499,,,499,,,EXOTIC,HOOKAH SECTION,,TRUE,FALSE,,FALSE
BLY593,Bluberry,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
DOT429,Double Apple Mint,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
BRR557,Brain Freezer,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
ELT606,Elaichi Mint,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
GUT636,Gum Mint,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
GUA308,Gum Mint Vanila,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
GUI425,Gum Supari,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
BUI155,Bumbay Supari,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
FOI832,Forest Kiwi,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
LO6643,Love 66,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
SPR434,Spring Water,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,599,,,599,,,PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
X H134,X on the Beach,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
AK7313,AK 47,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
SHI910,Shek Habibi,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
BLN471,Blueberry Rasberry Lemon,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
COR893,Comissioner,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
