food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,old_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
CHO818,Chatter Paneer - Honey Chilly Potato,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,79,,,79,,,Starter Combo,Combos,FALSE,TRUE,FALSE,FALSE,FALSE
PEO704,Pepper Mushroom - Honey Chilly Potato,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,79,,,79,,,Starter Combo,Combos,FALSE,TRUE,FALSE,FALSE,FALSE
FRO145,Fried Chicken Banger - Honey Chilly Potato,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,89,,,89,,,Starter Combo,Combos,FALSE,TRUE,FALSE,FALSE,FALSE
FRO864,Fried Garlic Butter Chicken - Honey Chilly Potato,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,89,,,89,,,Starter Combo,Combos,FALSE,TRUE,FALSE,FALSE,FALSE
DRO384,Dragon Chicken - Honey Chilly Potato,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,89,,,89,,,Starter Combo,Combos,FALSE,TRUE,FALSE,FALSE,FALSE
CHA568,Chicken Tikka,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,89,149,219,89,149,219,Tikka & Kabab,Tikka & Kabab,FALSE,TRUE,FALSE,FALSE,FALSE
CHA248,Chicken Malai Tikka,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,89,149,219,89,149,219,Tikka & Kabab,Tikka & Kabab,FALSE,TRUE,FALSE,FALSE,FALSE
CHA768,Chicken Hariyali Tikka,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,89,159,219,89,159,219,Tikka & Kabab,Tikka & Kabab,FALSE,TRUE,FALSE,FALSE,FALSE
CHA508,Chicken Lasuni Tikka,Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,99,179,239,99,179,239,Tikka & Kabab,Tikka & Kabab,FALSE,TRUE,FALSE,FALSE,FALSE
ASA638,Assorted Chicken Tikka (Full),Tasty and satisfying in every bite.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,229,,,229,,,Tikka & Kabab,Tikka & Kabab,FALSE,TRUE,FALSE,FALSE,FALSE
